Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2000 Rank,2006 Rank,2010 Rank,2019/20 Rank
BX,The Bronx,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,72.8,39.0,,,,1
BX,The Bronx,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,"5,923","3,165",,,,4
BX,The Bronx,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,133,22,140,,,3,4,4,
BX,The Bronx,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.9%,40.4%,24.6%,,,2,1,1
BX,The Bronx,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,34.2%,1.0%,10.0%,,,1,2,1
BX,The Bronx,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,39.5%,3.1%,4.1%,,,1,1,2
BX,The Bronx,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,40.4,14.6,17.8,,,4,5,4
BX,The Bronx,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,47.5%,18.5%,40.3%,,,2,1,1
BX,The Bronx,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,10.8%,41.9%,14.6%,,,1,1,1
BX,The Bronx,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,46.9,11.3,12.3,,,4,5,5
BX,The Bronx,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,754,"1,296",484,655,512,4,4,4,4
BX,The Bronx,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,"1,433","3,093",910,"1,174",864,3,3,3,3
BX,The Bronx,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,176,354,202,115,89,4,3,3,3
BX,The Bronx,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,"2,685","5,635","1,973","2,409","1,739",5,5,5,5
BX,The Bronx,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,322,892,377,465,274,5,4,4,5
BX,The Bronx,Housing Market and Conditions,"Median sales price per unit, 1 family building (2020$)",The median price per unit for one unit buildings.,"$310,050","$516,360","$411,110","$503,970","$535,000",5,5,5,5
BX,The Bronx,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2020$)",The median price per unit for two- to four-unit buildings.,"$170,530","$288,430","$221,010","$288,180","$310,000",5,5,5,5
BX,The Bronx,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2020$)",The median price per unit for multifamily buildings.,"$49,210","$99,350","$78,390","$170,870","$150,520",5,5,5,5
BX,The Bronx,Housing Market and Conditions,"Median sales price per unit, condominium (2020$)",The median price per unit for condominiums.,"$58,500","$170,500","$258,410","$230,880","$257,500",5,5,5,5
BX,The Bronx,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,219.5,174.2,218.3,229.3,,2,3,5
BX,The Bronx,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,214.2,151.2,209.7,222.6,,5,4,4
BX,The Bronx,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,251.5,193.3,612.8,598.0,,2,4,2
BX,The Bronx,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,232.8,178.0,256.5,268.3,,1,2,3
BX,The Bronx,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,318.1,318.0,374.5,404.5,,1,1,1
BX,The Bronx,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,32.4,33.0,33.7,,,3,3,3
BX,The Bronx,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,"3,045","4,430","1,458","6,151","5,723",3,4,3,2
BX,The Bronx,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,"1,390","4,226","4,192","4,317","4,433",5,4,3,2
BX,The Bronx,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",61.1%,65.8%,69.4%,71.1%,,3,3,3,3
BX,The Bronx,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,43.0,40.6,42.9,45.9,,3,4,1,2
BX,The Bronx,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",23.8,16.6,14.3,14.0,14.9,2,2,2,2
BX,The Bronx,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",14.0,9.4,7.4,6.9,7.9,2,3,3,2
BX,The Bronx,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",9.8,7.2,6.9,7.1,7.0,1,1,1,1
BX,The Bronx,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,36.0%,,,,,5
BX,The Bronx,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,33.1%,,,,,5
BX,The Bronx,Renters,"Median rent, 2- and 3-bedrooms (2020$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,170","$1,290",,,,5,5
BX,The Bronx,Renters,"Median rent, all (2020$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$960,"$1,060","$1,140","$1,250",,5,5,5,5
BX,The Bronx,Renters,"Median rent, recent movers (2020$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,220","$1,400",,,,5,5
BX,The Bronx,Renters,"Median rent, studios and 1-bedrooms (2020$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,020","$1,120",,,,5,4
BX,The Bronx,Renters,"Median rent, asking",The median rent that landlords advertise for housing units available for rent.,,,"$1,600",,,,,4,
BX,The Bronx,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,12.6%,15.9%,,,,2,1
BX,The Bronx,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,81.0%,85.8%,,,,1,1
BX,The Bronx,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,98.3%,98.7%,,,,1,1
BX,The Bronx,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,21.8%,24.6%,27.3%,,,5,4,1
BX,The Bronx,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,28.7%,30.1%,,,,4,3
BX,The Bronx,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,5.8%,5.7%,,,,5,5
BX,The Bronx,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,27.2%,,31.8%,34.3%,,1,,1,1
BX,The Bronx,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,40.8%,42.3%,,,,5,4
BX,The Bronx,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.3%,0.2%,,,,5,4
BX,The Bronx,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,14.8%,13.8%,,,,1,1
BX,The Bronx,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,13.3%,,,,1
BX,The Bronx,Housing Market and Conditions,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,"3,380",,,,3
BX,The Bronx,Housing Market and Conditions,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,91,,,,2
BX,The Bronx,Housing Market and Conditions,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,"22,504",,,,1
BX,The Bronx,Housing Market and Conditions,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,293,,,,2
BX,The Bronx,Housing Market and Conditions,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,"20,513",,,,3
BX,The Bronx,Housing Market and Conditions,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,756,,,,2
BX,The Bronx,Housing Market and Conditions,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,"46,391",,,,2
BX,The Bronx,Housing Market and Conditions,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,156,,,,3
BX,The Bronx,Housing Market and Conditions,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,"55,316",,,,2
BX,The Bronx,Housing Market and Conditions,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,86,,,,2
BX,The Bronx,Housing Market and Conditions,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,"31,221",,,,1
BX,The Bronx,Housing Market and Conditions,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,506,,,,4
BX,The Bronx,Housing Market and Conditions,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,"18,628",,,,4
BX,The Bronx,Housing Market and Conditions,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,520,,,,3
BX,The Bronx,Housing Market and Conditions,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,"28,598",,,,1
BX,The Bronx,Housing Market and Conditions,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,"1,366",,,,2
BX,The Bronx,Housing Market and Conditions,Eligible to expire from housing programs between 2020 and 2025 (properties),"Total number of properties eligible to expire between 2020 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,135,,,,3
BX,The Bronx,Housing Market and Conditions,Eligible to expire from housing programs between 2020 and 2025 (units),"Total number of units in properties eligible to expire between 2020 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,"7,512",,,,3
BX,The Bronx,Housing Market and Conditions,Eligible to expire from housing programs between 2026 and 2035 (properties),"Total number of properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,291,,,,3
BX,The Bronx,Housing Market and Conditions,Eligible to expire from housing programs between 2026 and 2035 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,"14,076",,,,2
BX,The Bronx,Housing Market and Conditions,Eligible to expire from housing programs in 2036 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,509,,,,1
BX,The Bronx,Housing Market and Conditions,Eligible to expire from housing programs in 2036 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,"55,353",,,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
